ID,Nama,Gender,Matkul,UTS,UAS,Nilai,nilai huruf
1,Budi,Laki-laki,Kimia,90.0,80.0,85.0,A
2,Ani,Perempuan,Matematika,75.0,80.0,77.5,B
3,Joko,Laki-laki,Biologi,85.0,95.0,90.0,A
4,Siti,Perempuan,Matematika,55.0,65.0,60.0,D
5,Agus,Laki-laki,Fisika,80.0,75.0,77.5,B
6,Dewi,Perempuan,Biologi,75.0,95.0,85.0,A
7,Eka,Perempuan,Matematika,85.0,95.0,90.0,A
8,Adi,Laki-laki,Fisika,70.0,65.0,67.5,C
9,Rina,Perempuan,Matematika,80.0,70.0,75.0,B
10,Hadi,Laki-laki,Biologi,85.0,80.0,82.5,B
11,Maya,Perempuan,Fisika,79.0,88.0,83.5,B
12,Rudi,Laki-laki,Matematika,95.0,85.0,90.0,A
13,Surya,Laki-laki,Kimia,94.0,81.0,87.5,A
14,Wati,Perempuan,Biologi,88.0,91.0,89.5,A
15,Ari,Laki-laki,Kimia,88.0,85.0,86.5,A
16,Lia,Perempuan,Matematika,74.0,84.0,79.0,B
17,Dian,Perempuan,Fisika,76.0,77.0,76.5,B
18,Dodi,Laki-laki,Biologi,85.0,70.0,77.5,B
19,Nina,Perempuan,Fisika,93.0,80.0,86.5,A
20,Adit,Laki-laki,Kimia,74.0,94.0,84.0,B
21,Tia,Perempuan,Matematika,74.0,82.0,78.0,B
22,Andi,Laki-laki,Biologi,81.0,94.0,87.5,A
23,Nia,Perempuan,Matematika,89.0,71.0,80.0,B
24,Bayu,Laki-laki,Fisika,90.0,93.0,91.5,A
25,Indah,Perempuan,Biologi,93.0,92.0,92.5,A
26,Rama,Laki-laki,Kimia,85.0,75.0,80.0,B
27,Nisa,Perempuan,Fisika,76.0,91.0,83.5,B
28,Iwan,Laki-laki,Biologi,83.0,74.0,78.5,B
29,Mega,Perempuan,Kimia,85.0,87.0,86.0,A
30,Agung,Laki-laki,Matematika,89.0,91.0,90.0,A
31,Ria,Perempuan,Fisika,87.0,72.0,79.5,B
32,Dino,Laki-laki,Kimia,92.0,79.0,85.5,A
33,Rini,Perempuan,Biologi,73.0,76.0,74.5,C
34,Yoga,Laki-laki,Matematika,95.0,75.0,85.0,A
35,Evi,Perempuan,Kimia,93.0,89.0,91.0,A
36,Aji,Laki-laki,Fisika,86.0,77.0,81.5,B
37,Lina,Perempuan,Biologi,88.0,75.0,81.5,B
38,Dika,Laki-laki,Matematika,80.0,77.0,78.5,B
39,Yuli,Perempuan,Kimia,85.0,75.0,80.0,B
40,Bagus,Laki-laki,Fisika,73.0,82.0,77.5,B
41,Tina,Perempuan,Biologi,81.0,93.0,87.0,A
42,Farid,Laki-laki,Matematika,81.0,79.0,80.0,B
43,Rika,Perempuan,Fisika,82.0,86.0,84.0,B
44,Hafiz,Laki-laki,Kimia,72.0,94.0,83.0,B
45,Yani,Perempuan,Biologi,95.0,71.0,83.0,B
46,Fajar,Laki-laki,Matematika,78.0,90.0,84.0,B
47,Ayu,Perempuan,Fisika,84.0,92.0,88.0,A
48,Rian,Laki-laki,Biologi,72.0,80.0,76.0,B
49,Tika,Perempuan,Kimia,79.0,93.0,86.0,A
50,Fandi,Laki-laki,Matematika,70.0,91.0,80.5,B
51,Siska,Perempuan,Kimia,94.0,90.0,92.0,A
52,Rio,Laki-laki,Fisika,82.0,74.0,78.0,B
53,Sinta,Perempuan,Biologi,94.0,87.0,90.5,A
54,Arif,Laki-laki,Kimia,83.0,94.0,88.5,A
55,Rara,Perempuan,Matematika,94.0,84.0,89.0,A
56,Rian,Laki-laki,Fisika,94.0,83.0,88.5,A
57,Tyas,Perempuan,Biologi,87.0,95.0,91.0,A
58,Ryan,Laki-laki,Kimia,87.0,80.0,83.5,B
59,Asih,Perempuan,Matematika,73.0,80.0,76.5,B
60,Gito,Laki-laki,Fisika,94.0,78.0,86.0,A
61,Ayi,Perempuan,Biologi,74.0,73.0,73.5,C
62,Tino,Laki-laki,Kimia,84.0,78.0,81.0,B
63,Nova,Perempuan,Matematika,80.0,73.0,76.5,B
64,Reza,Laki-laki,Fisika,83.0,77.0,80.0,B
65,Umi,Perempuan,Biologi,73.0,88.0,80.5,B
66,Doni,Laki-laki,Kimia,79.0,94.0,86.5,A
67,Lia,Perempuan,Matematika,82.0,73.0,77.5,B
68,Dani,Laki-laki,Fisika,87.0,94.0,90.5,A
69,Yani,Perempuan,Biologi,84.0,86.0,85.0,A
70,Wira,Laki-laki,Kimia,85.0,86.0,85.5,A
71,Yuli,Perempuan,Matematika,71.0,79.0,75.0,B
72,Edo,Laki-laki,Fisika,92.0,71.0,81.5,B
73,Tari,Perempuan,Kimia,77.0,79.0,78.0,B
74,Andy,Laki-laki,Biologi,82.0,70.0,76.0,B
75,Dita,Perempuan,Matematika,90.0,83.0,86.5,A
76,Fahmi,Laki-laki,Fisika,88.0,72.0,80.0,B
77,Erna,Perempuan,Kimia,83.0,83.0,83.0,B
78,Dimas,Laki-laki,Biologi,91.0,73.0,82.0,B
79,Eka,Perempuan,Matematika,73.0,77.0,75.0,B
80,Ricky,Laki-laki,Fisika,74.0,83.0,78.5,B
81,Merry,Perempuan,Kimia,85.0,86.0,85.5,A
82,Rizal,Laki-laki,Biologi,75.0,87.0,81.0,B
83,Tina,Perempuan,Matematika,81.0,93.0,87.0,A
84,Billy,Laki-laki,Fisika,91.0,72.0,81.5,B
85,Eva,Perempuan,Kimia,91.0,72.0,81.5,B
86,Yudi,Laki-laki,Biologi,88.0,81.0,84.5,B
87,Vera,Perempuan,Matematika,83.0,88.0,85.5,A
88,Deka,Laki-laki,Fisika,74.0,81.0,77.5,B
89,Dian,Perempuan,Kimia,72.0,72.0,72.0,C
90,Roy,Laki-laki,Biologi,72.0,91.0,81.5,B
91,Irma,Perempuan,Matematika,83.0,85.0,84.0,B
92,Wahyu,Laki-laki,Fisika,78.0,77.0,77.5,B
93,Sari,Perempuan,Kimia,87.0,93.0,90.0,A
94,Riko,Laki-laki,Matematika,84.0,85.0,84.5,B
95,Ela,Perempuan,Biologi,80.0,94.0,87.0,A
96,Yanto,Laki-laki,Fisika,76.0,86.0,81.0,B
97,Dina,Perempuan,Kimia,92.0,72.0,82.0,B
98,Fery,Laki-laki,Matematika,87.0,74.0,80.5,B
99,Febi,Perempuan,Biologi,74.0,70.0,72.0,C
